time_ms,position_step,position_deg,target_step
5000,-1,0.000,-4800
5005,-2,0.000,-4800
5010,-5,0.000,-4800
5015,-9,-0.150,-4800
5020,-13,-0.150,-4800
5025,-18,-0.150,-4800
5030,-23,-0.300,-4800
5035,-28,-0.450,-4800
5040,-34,-0.600,-4800
5045,-41,-0.750,-4800
5050,-48,-0.750,-4800
5055,-56,-0.900,-4800
5060,-64,-1.200,-4800
5065,-73,-1.350,-4800
5070,-83,-1.500,-4800
5075,-92,-1.650,-4800
5080,-102,-1.800,-4800
5085,-112,-2.100,-4800
5090,-126,-2.250,-4800
5095,-140,-2.400,-4800
5100,-150,-2.700,-4800
5105,-163,-2.850,-4800
5110,-177,-3.000,-4800
5115,-190,-3.150,-4800
5120,-203,-3.450,-4800
5125,-218,-3.600,-4800
5130,-234,-3.750,-4800
5135,-254,-4.050,-4800
5140,-274,-4.500,-4800
5145,-294,-4.650,-4800
5150,-314,-4.950,-4800
5155,-334,-5.100,-4800
5160,-355,-5.400,-4800
5165,-375,-5.550,-4800
5170,-396,-5.700,-4800
5175,-415,-5.850,-4800
5180,-434,-5.850,-4800
5185,-453,-6.000,-4800
5190,-474,-6.000,-4800
5195,-495,-6.150,-4800
5200,-515,-6.150,-4800
5205,-535,-6.150,-4800
5210,-556,-6.150,-4800
5215,-577,-6.150,-4800
5220,-597,-6.000,-4800
5225,-617,-5.850,-4800
5230,-637,-5.700,-4800
5235,-658,-5.550,-4800
5240,-677,-5.400,-4800
5245,-697,-5.250,-4800
5250,-718,-5.100,-4800
5255,-739,-4.800,-4800
5260,-759,-4.650,-4800
5265,-778,-4.350,-4800
5270,-799,-4.050,-4800
5275,-818,-3.750,-4800
5280,-839,-3.300,-4800
5285,-859,-3.000,-4800
5290,-880,-2.700,-4800
5295,-900,-2.400,-4800
5300,-921,-2.100,-4800
5305,-942,-1.800,-4800
5310,-962,-1.350,-4800
5315,-981,-0.900,-4800
5320,-1002,-0.600,-4800
5325,-1022,-0.150,-4800
5330,-1042,0.150,-4800
5335,-1063,0.600,-4800
5340,-1085,0.900,-4800
5345,-1105,1.200,-4800
5350,-1125,1.650,-4800
5355,-1146,1.950,-4800
5360,-1166,2.250,-4800
5365,-1187,2.550,-4800
5370,-1208,3.000,-4800
