time_ms,angle_deg
5000,0.000
5005,0.000
5010,0.150
5015,0.150
5020,0.150
5025,0.300
5030,0.600
5035,0.900
5040,1.200
5045,1.500
5050,1.950
5055,2.400
5060,2.850
5065,3.300
5070,3.900
5075,4.350
5080,4.800
5085,5.250
5090,5.700
5095,6.150
5100,6.450
5105,6.750
5110,7.200
5115,7.500
5120,7.800
5125,7.950
5130,8.100
5135,8.400
5140,8.550
5145,8.550
5150,8.700
5155,8.700
5160,8.700
5165,8.700
5170,8.700
5175,8.550
5180,8.400
5185,8.250
5190,8.100
5195,7.800
5200,7.650
5205,7.350
5210,6.900
5215,6.600
5220,6.150
5225,5.850
5230,5.400
5235,4.950
5240,4.500
5245,4.050
5250,3.600
5255,3.000
5260,2.400
5265,1.950
5270,1.500
5275,0.900
5280,0.300
5285,-0.150
5290,-0.750
5295,-1.200
5300,-1.800
5305,-2.250
5310,-2.850
5315,-3.300
5320,-3.900
5325,-4.350
5330,-4.800
5335,-5.100
5340,-5.550
5345,-6.000
5350,-6.300
5355,-6.600
5360,-7.050
5365,-7.200
5370,-7.500
5375,-7.650
5380,-7.950
5385,-8.100
5390,-8.250
5395,-8.250
5400,-8.400
5405,-8.400
5410,-8.400
5415,-8.250
5420,-8.250
5425,-8.250
5430,-8.100
5435,-7.950
5440,-7.650
5445,-7.350
5450,-7.050
5455,-6.900
5460,-6.450
5465,-6.150
5470,-5.850
5475,-5.400
5480,-4.950
5485,-4.500
5490,-4.050
5495,-3.600
5500,-3.150
5505,-2.550
5510,-2.100
5515,-1.650
5520,-1.050
5525,-0.600
5530,0.000
5535,0.450
5540,1.050
5545,1.500
5550,2.100
5555,2.550
5560,3.000
5565,3.450
5570,3.900
5575,4.350
5580,4.800
5585,5.100
5590,5.550
5595,6.000
5600,6.300
5605,6.450
5610,6.900
5615,7.050
5620,7.350
5625,7.500
5630,7.650
5635,7.800
5640,7.950
5645,8.100
5650,8.100
5655,8.100
5660,8.100
5665,7.950
5670,7.950
5675,7.800
5680,7.650
5685,7.500
5690,7.350
5695,7.050
5700,6.750
5705,6.450
5710,6.150
5715,5.850
5720,5.550
5725,5.100
5730,4.650
5735,4.350
5740,3.900
5745,3.450
5750,2.850
5755,2.400
5760,1.950
5765,1.500
5770,0.900
5775,0.450
5780,0.000
5785,-0.450
5790,-1.050
5795,-1.500
5800,-1.950
5805,-2.400
5810,-2.850
5815,-3.300
5820,-3.750
5825,-4.200
5830,-4.650
5835,-4.950
5840,-5.250
5845,-5.700
5850,-6.000
5855,-6.300
5860,-6.450
5865,-6.750
5870,-7.050
5875,-7.200
5880,-7.350
5885,-7.500
5890,-7.500
5895,-7.650
5900,-7.650
5905,-7.650
5910,-7.650
5915,-7.650
5920,-7.500
5925,-7.500
5930,-7.350
5935,-7.050
5940,-6.900
5945,-6.750
5950,-6.600
5955,-6.450
5960,-6.450
5965,-6.300
5970,-6.150
5975,-6.150
5980,-6.000
5985,-6.000
5990,-6.000
5995,-6.000
6000,-6.000
6005,-6.000
6010,-6.150
6015,-6.150
6020,-6.000
6025,-6.000
6030,-6.000
6035,-5.850
6040,-5.700
6045,-5.550
6050,-5.400
6055,-5.250
6060,-5.100
6065,-4.800
6070,-4.500
6075,-4.350
6080,-4.050
6085,-3.750
6090,-3.450
6095,-3.150
6100,-2.700
6105,-2.400
6110,-2.100
6115,-1.650
6120,-1.350
6125,-0.900
6130,-0.600
6135,-0.150
6140,0.150
6145,0.600
6150,0.900
6155,1.350
6160,1.650
6165,2.100
6170,2.400
6175,2.700
6180,3.000
6185,3.300
6190,3.600
6195,3.900
6200,4.200
6205,4.500
6210,4.650
6215,4.950
6220,5.100
6225,5.250
6230,5.400
6235,5.550
6240,5.700
6245,5.700
6250,5.850
6255,5.850
6260,5.850
6265,5.850
6270,5.850
6275,5.700
6280,5.700
6285,5.550
6290,5.400
6295,5.250
6300,5.100
6305,4.950
6310,4.800
6315,4.500
6320,4.350
6325,4.050
6330,3.750
6335,3.450
6340,3.150
6345,2.850
6350,2.550
6355,2.250
6360,1.950
6365,1.500
6370,1.200
6375,0.750
6380,0.450
6385,0.150
6390,-0.300
6395,-0.600
6400,-1.050
6405,-1.350
6410,-1.650
6415,-1.950
6420,-2.400
6425,-2.700
6430,-3.000
6435,-3.300
6440,-3.600
6445,-3.750
6450,-4.050
6455,-4.350
6460,-4.500
6465,-4.650
6470,-4.650
6475,-4.650
6480,-4.500
6485,-4.350
6490,-4.050
6495,-3.900
6500,-3.600
6505,-3.150
6510,-2.700
6515,-2.400
6520,-2.250
6525,-1.950
6530,-1.800
6535,-1.500
6540,-1.350
6545,-1.350
