time_ms,position_step,position_deg,target_step
5000,1,0.000,4000
5005,3,0.000,4000
5010,6,0.000,4000
5015,10,0.000,4000
5020,15,0.150,4000
5025,21,0.150,4000
5030,28,0.300,4000
5035,36,0.450,4000
5040,45,0.750,4000
5045,54,0.900,4000
5050,64,1.200,4000
5055,74,1.350,4000
5060,85,1.500,4000
5065,97,1.800,4000
5070,110,1.950,4000
5075,122,2.250,4000
5080,137,2.550,4000
5085,154,2.700,4000
5090,172,3.150,4000
5095,191,3.450,4000
5100,212,3.900,4000
5105,232,4.200,4000
5110,250,4.500,4000
5115,266,4.650,4000
5120,287,4.950,4000
5125,307,5.100,4000
5130,327,5.400,4000
5135,349,5.700,4000
5140,371,6.000,4000
5145,392,6.150,4000
5150,411,6.300,4000
5155,430,6.450,4000
5160,450,6.450,4000
5165,471,6.450,4000
5170,492,6.600,4000
5175,512,6.600,4000
5180,532,6.600,4000
5185,552,6.600,4000
5190,574,6.450,4000
5195,596,6.450,4000
5200,615,6.450,4000
5205,634,6.300,4000
5210,654,6.000,4000
5215,676,5.850,4000
5220,697,5.550,4000
5225,716,5.400,4000
5230,735,5.250,4000
5235,755,4.950,4000
5240,777,4.650,4000
5245,798,4.350,4000
5250,817,4.050,4000
5255,838,3.750,4000
5260,859,3.300,4000
5265,880,3.000,4000
5270,902,2.700,4000
5275,922,2.250,4000
5280,945,1.950,4000
5285,966,1.650,4000
5290,986,1.350,4000
5295,1008,0.900,4000
5300,1028,0.450,4000
5305,1050,0.000,4000
5310,1070,-0.300,4000
5315,1092,-0.750,4000
5320,1112,-1.200,4000
5325,1131,-1.500,4000
5330,1152,-1.950,4000
5335,1174,-2.400,4000
5340,1196,-2.700,4000
5345,1216,-2.850,4000
5350,1236,-3.300,4000
5355,1255,-3.600,4000
5360,1274,-4.050,4000
5365,1296,-4.350,4000
5370,1317,-4.650,4000
5375,1337,-4.800,4000
5380,1356,-5.100,4000
5385,1374,-5.400,4000
5390,1395,-5.550,4000
5395,1418,-5.850,4000
5400,1440,-5.850,4000
5405,1462,-6.000,4000
5410,1485,-6.000,4000
5415,1507,-6.000,4000
5420,1530,-6.000,4000
5425,1552,-6.150,4000
5430,1575,-6.000,4000
5435,1597,-6.000,4000
5440,1620,-5.850,4000
5445,1642,-5.700,4000
5450,1662,-5.700,4000
5455,1685,-5.550,4000
5460,1705,-5.400,4000
5465,1726,-5.250,4000
5470,1746,-5.100,4000
5475,1765,-4.950,4000
5480,1785,-4.800,4000
5485,1806,-4.650,4000
5490,1828,-4.350,4000
5495,1848,-4.050,4000
5500,1869,-3.750,4000
5505,1892,-3.450,4000
5510,1912,-3.000,4000
5515,1934,-2.700,4000
5520,1955,-2.400,4000
5525,1974,-2.100,4000
5530,1995,-1.800,4000
5535,2014,-1.500,4000
5540,2036,-1.050,4000
5545,2057,-0.750,4000
5550,2078,-0.300,4000
5555,2097,0.000,4000
5560,2117,0.300,4000
5565,2140,0.750,4000
5570,2162,1.050,4000
5575,2182,1.500,4000
5580,2206,1.800,4000
5585,2228,2.250,4000
5590,2251,2.550,4000
5595,2274,3.000,4000
5600,2297,3.300,4000
5605,2319,3.600,4000
5610,2340,3.900,4000
5615,2362,4.200,4000
5620,2382,4.500,4000
5625,2403,4.650,4000
5630,2423,4.800,4000
5635,2443,4.950,4000
5640,2465,5.100,4000
5645,2487,5.250,4000
5650,2507,5.400,4000
5655,2528,5.550,4000
5660,2547,5.700,4000
5665,2569,5.700,4000
5670,2590,5.700,4000
5675,2611,5.700,4000
5680,2631,5.700,4000
5685,2652,5.700,4000
5690,2675,5.700,4000
5695,2697,5.700,4000
5700,2717,5.550,4000
5705,2737,5.400,4000
5710,2757,5.250,4000
5715,2779,5.100,4000
5720,2801,4.800,4000
5725,2821,4.650,4000
5730,2842,4.500,4000
5735,2862,4.200,4000
5740,2886,3.900,4000
5745,2907,3.750,4000
5750,2928,3.450,4000
5755,2947,3.150,4000
5760,2967,2.700,4000
5765,2988,2.400,4000
5770,3009,2.100,4000
5775,3030,1.800,4000
5780,3050,1.500,4000
5785,3073,1.050,4000
5790,3095,0.750,4000
5795,3118,0.450,4000
5800,3135,0.150,4000
5805,3154,-0.300,4000
5810,3177,-0.750,4000
5815,3199,-1.050,4000
5820,3222,-1.350,4000
5825,3241,-1.650,4000
5830,3259,-1.950,4000
5835,3281,-2.400,4000
5840,3304,-2.700,4000
5845,3327,-2.850,4000
5850,3349,-3.150,4000
5855,3372,-3.300,4000
5860,3394,-3.600,4000
5865,3417,-3.900,4000
5870,3440,-4.050,4000
5875,3463,-4.200,4000
5880,3485,-4.350,4000
5885,3507,-4.500,4000
5890,3529,-4.650,4000
5895,3551,-4.800,4000
5900,3575,-4.950,4000
5905,3597,-4.950,4000
5910,3619,-4.950,4000
5915,3642,-4.950,4000
5920,3664,-5.100,4000
5925,3687,-5.100,4000
5930,3709,-5.100,4000
5935,3732,-4.950,4000
5940,3754,-4.800,4000
5945,3777,-4.800,4000
5950,3799,-4.650,4000
5955,3822,-4.500,4000
5960,3843,-4.350,4000
5965,3862,-4.350,4000
5970,3881,-4.350,4000
5975,3898,-4.200,4000
5980,3911,-4.200,4000
5985,3924,-4.050,4000
5990,3937,-4.050,4000
5995,3948,-4.050,4000
6000,3957,-4.050,4000
6005,3967,-4.050,4000
6010,3976,-4.050,4000
6015,3983,-4.050,4000
6020,3989,-4.200,4000
6025,3994,-4.200,4000
6030,3997,-4.200,4000
6035,3999,-4.200,4000
6040,4000,-4.350,4000
6045,4000,-4.500,4000
6050,4000,-4.500,4000
6055,4000,-4.650,4000
6060,4000,-4.650,4000
6065,4000,-4.650,4000
6070,4000,-4.650,4000
6075,4000,-4.650,4000
6080,4000,-4.650,4000
6085,4000,-4.650,4000
6090,4000,-4.500,4000
6095,4000,-4.500,4000
6100,4000,-4.350,4000
6105,4000,-4.200,4000
6110,4000,-4.050,4000
6115,4000,-3.900,4000
6120,4000,-3.750,4000
6125,4000,-3.600,4000
6130,4000,-3.450,4000
6135,4000,-3.150,4000
6140,4000,-3.000,4000
6145,4000,-2.700,4000
6150,4000,-2.550,4000
6155,4000,-2.250,4000
6160,4000,-1.950,4000
6165,4000,-1.800,4000
6170,4000,-1.500,4000
6175,4000,-1.200,4000
6180,4000,-0.900,4000
6185,4000,-0.600,4000
6190,4000,-0.300,4000
6195,4000,0.000,4000
6200,4000,0.300,4000
6205,4000,0.450,4000
6210,4000,0.750,4000
6215,4000,1.050,4000
6220,4000,1.350,4000
6225,4000,1.650,4000
6230,4000,1.800,4000
6235,4000,2.100,4000
6240,4000,2.400,4000
6245,4000,2.550,4000
6250,4000,2.850,4000
6255,4000,3.000,4000
6260,4000,3.150,4000
6265,4000,3.450,4000
6270,4000,3.600,4000
6275,4000,3.750,4000
6280,4000,3.900,4000
6285,4000,4.050,4000
6290,4000,4.050,4000
6295,4000,4.200,4000
6300,4000,4.200,4000
6305,4000,4.350,4000
6310,4000,4.350,4000
6315,4000,4.350,4000
6320,4000,4.350,4000
6325,4000,4.350,4000
6330,4000,4.350,4000
6335,4000,4.200,4000
6340,4000,4.200,4000
6345,4000,4.050,4000
6350,4000,4.050,4000
6355,4000,3.900,4000
6360,4000,3.750,4000
6365,4000,3.600,4000
6370,4000,3.450,4000
6375,4000,3.300,4000
6380,4000,3.150,4000
6385,4000,2.850,4000
6390,4000,2.700,4000
6395,4000,2.400,4000
6400,4000,2.250,4000
6405,4000,1.950,4000
6410,4000,1.800,4000
6415,4000,1.500,4000
6420,4000,1.200,4000
6425,4000,1.050,4000
6430,4000,0.750,4000
6435,4000,0.450,4000
6440,4000,0.150,4000
6445,4000,-0.150,4000
6450,4000,-0.300,4000
6455,4000,-0.600,4000
6460,4000,-0.900,4000
6465,4000,-1.200,4000
6470,4000,-1.350,4000
6475,4000,-1.650,4000
6480,4000,-1.800,4000
6485,4000,-2.100,4000
6490,4000,-2.250,4000
6495,4000,-2.550,4000
6500,4000,-2.700,4000
6505,4000,-3.000,4000
6510,4000,-3.150,4000
6515,4000,-3.300,4000
6520,4000,-3.450,4000
6525,4000,-3.600,4000
6530,4000,-3.750,4000
6535,4000,-3.750,4000
6540,4000,-3.900,4000
6545,4000,-3.900,4000
6550,4000,-4.050,4000
6555,4000,-4.050,4000
6560,4000,-4.050,4000
6565,4000,-4.050,4000
6570,4000,-4.050,4000
6575,4000,-4.050,4000
6580,4000,-4.050,4000
6585,4000,-4.050,4000
6590,4000,-3.900,4000
6595,4000,-3.900,4000
6600,4000,-3.750,4000
6605,4000,-3.600,4000
6610,4000,-3.450,4000
6615,4000,-3.300,4000
6620,4000,-3.150,4000
6625,4000,-3.000,4000
6630,4000,-2.850,4000
6635,4000,-2.700,4000
6640,4000,-2.400,4000
6645,4000,-2.250,4000
6650,4000,-2.100,4000
6655,4000,-1.800,4000
6660,4000,-1.650,4000
6665,4000,-1.350,4000
