time_ms,position_step,position_deg,target_step
5000,1,0.000,4600
5005,3,0.000,4600
5010,7,0.000,4600
5015,12,0.150,4600
5020,18,0.150,4600
5025,26,0.300,4600
5030,35,0.450,4600
5035,46,0.750,4600
5040,57,0.900,4600
5045,70,1.200,4600
5050,82,1.500,4600
5055,96,1.650,4600
5060,113,1.950,4600
5065,128,2.250,4600
5070,143,2.700,4600
5075,161,3.000,4600
5080,178,3.300,4600
5085,198,3.600,4600
5090,220,3.900,4600
5095,241,4.350,4600
5100,265,4.800,4600
5105,288,5.100,4600
5110,311,5.550,4600
5115,334,5.850,4600
5120,358,6.150,4600
5125,381,6.450,4600
5130,405,6.750,4600
5135,425,6.900,4600
5140,448,7.050,4600
5145,469,7.200,4600
5150,488,7.200,4600
5155,511,7.350,4600
5160,534,7.350,4600
5165,557,7.500,4600
5170,580,7.500,4600
5175,602,7.500,4600
5180,625,7.500,4600
5185,649,7.350,4600
5190,672,7.350,4600
5195,694,7.200,4600
5200,718,7.050,4600
5205,741,6.900,4600
5210,764,6.750,4600
5215,787,6.450,4600
5220,810,6.150,4600
5225,833,5.850,4600
5230,856,5.550,4600
5235,879,5.250,4600
5240,902,4.950,4600
5245,925,4.650,4600
5250,948,4.200,4600
5255,971,3.750,4600
5260,994,3.300,4600
5265,1017,2.850,4600
5270,1040,2.400,4600
5275,1063,1.950,4600
5280,1086,1.650,4600
5285,1108,1.200,4600
5290,1131,0.600,4600
5295,1154,0.150,4600
5300,1178,-0.300,4600
5305,1196,-0.750,4600
5310,1217,-1.350,4600
5315,1235,-1.950,4600
5320,1255,-2.400,4600
5325,1274,-3.000,4600
5330,1296,-3.450,4600
5335,1319,-3.900,4600
5340,1343,-4.200,4600
5345,1362,-4.650,4600
5350,1383,-5.100,4600
5355,1402,-5.550,4600
5360,1425,-5.850,4600
5365,1448,-6.150,4600
5370,1471,-6.300,4600
5375,1494,-6.600,4600
5380,1518,-6.750,4600
5385,1537,-7.050,4600
5390,1557,-7.200,4600
5395,1579,-7.500,4600
5400,1602,-7.650,4600
5405,1622,-7.650,4600
5410,1644,-7.800,4600
5415,1667,-7.800,4600
5420,1690,-7.650,4600
5425,1713,-7.650,4600
5430,1735,-7.500,4600
5435,1759,-7.350,4600
5440,1782,-7.200,4600
5445,1805,-7.050,4600
5450,1825,-7.050,4600
5455,1846,-6.900,4600
5460,1867,-6.600,4600
5465,1889,-6.450,4600
5470,1911,-6.150,4600
5475,1929,-5.850,4600
5480,1946,-5.550,4600
5485,1963,-5.400,4600
5490,1982,-5.100,4600
5495,2002,-4.800,4600
5500,2022,-4.500,4600
5505,2046,-4.050,4600
5510,2068,-3.450,4600
5515,2091,-3.000,4600
5520,2114,-2.550,4600
5525,2136,-2.100,4600
5530,2160,-1.500,4600
5535,2182,-1.050,4600
5540,2205,-0.450,4600
5545,2227,0.000,4600
5550,2249,0.600,4600
5555,2272,1.050,4600
5560,2295,1.500,4600
5565,2318,2.100,4600
5570,2341,2.550,4600
5575,2364,3.000,4600
5580,2385,3.450,4600
5585,2409,3.900,4600
5590,2432,4.350,4600
5595,2455,4.800,4600
5600,2476,5.250,4600
5605,2496,5.550,4600
5610,2519,5.850,4600
5615,2542,6.150,4600
5620,2565,6.450,4600
5625,2585,6.750,4600
5630,2608,6.900,4600
5635,2631,7.050,4600
5640,2654,7.350,4600
5645,2676,7.500,4600
5650,2694,7.500,4600
5655,2712,7.500,4600
5660,2728,7.350,4600
5665,2748,7.350,4600
5670,2770,7.200,4600
5675,2789,7.200,4600
5680,2812,7.200,4600
5685,2834,7.050,4600
5690,2857,6.900,4600
5695,2877,6.750,4600
5700,2897,6.600,4600
5705,2917,6.300,4600
5710,2940,6.000,4600
5715,2963,5.850,4600
5720,2986,5.550,4600
5725,3009,5.400,4600
5730,3032,5.100,4600
5735,3054,4.800,4600
5740,3077,4.500,4600
5745,3099,4.050,4600
5750,3122,3.600,4600
5755,3145,3.300,4600
5760,3167,2.850,4600
5765,3190,2.550,4600
5770,3213,2.100,4600
5775,3235,1.650,4600
5780,3259,1.200,4600
5785,3281,0.750,4600
5790,3297,0.300,4600
5795,3314,-0.300,4600
5800,3329,-0.900,4600
5805,3345,-1.500,4600
5810,3364,-2.100,4600
5815,3381,-2.550,4600
5820,3398,-3.000,4600
5825,3414,-3.600,4600
5830,3431,-4.200,4600
5835,3449,-4.650,4600
5840,3470,-5.250,4600
5845,3493,-5.550,4600
5850,3514,-5.700,4600
5855,3534,-6.000,4600
5860,3556,-6.450,4600
5865,3579,-6.750,4600
5870,3601,-6.900,4600
5875,3623,-7.050,4600
5880,3643,-7.200,4600
5885,3664,-7.350,4600
5890,3687,-7.500,4600
5895,3709,-7.500,4600
5900,3732,-7.500,4600
5905,3755,-7.500,4600
5910,3778,-7.350,4600
5915,3801,-7.350,4600
5920,3822,-7.350,4600
5925,3842,-7.200,4600
5930,3863,-7.050,4600
5935,3885,-6.900,4600
5940,3906,-6.750,4600
5945,3926,-6.450,4600
5950,3947,-6.300,4600
5955,3967,-6.150,4600
5960,3988,-5.850,4600
5965,4010,-5.550,4600
5970,4032,-5.250,4600
5975,4053,-4.800,4600
5980,4074,-4.500,4600
5985,4097,-4.200,4600
5990,4118,-3.750,4600
5995,4140,-3.300,4600
6000,4163,-2.850,4600
6005,4185,-2.400,4600
6010,4207,-1.950,4600
6015,4231,-1.500,4600
6020,4253,-0.900,4600
6025,4269,-0.450,4600
6030,4290,-0.150,4600
6035,4313,0.150,4600
6040,4336,0.750,4600
6045,4358,1.200,4600
6050,4379,1.650,4600
6055,4400,2.100,4600
6060,4418,2.400,4600
6065,4438,2.850,4600
6070,4456,3.150,4600
6075,4471,3.450,4600
6080,4487,3.750,4600
6085,4495,3.900,4600
6090,4508,4.050,4600
6095,4521,4.050,4600
6100,4530,4.200,4600
6105,4539,4.200,4600
6110,4548,4.050,4600
6115,4558,4.050,4600
6120,4568,4.050,4600
6125,4577,4.050,4600
6130,4585,4.050,4600
6135,4590,3.900,4600
6140,4595,3.600,4600
6145,4598,3.450,4600
6150,4600,3.150,4600
6155,4600,2.850,4600
6160,4600,2.400,4600
6165,4600,2.100,4600
6170,4600,1.650,4600
6175,4600,1.350,4600
6180,4600,0.900,4600
6185,4600,0.450,4600
6190,4600,0.150,4600
6195,4600,-0.300,4600
6200,4600,-0.750,4600
6205,4600,-1.050,4600
6210,4600,-1.500,4600
6215,4600,-1.800,4600
6220,4600,-2.250,4600
6225,4600,-2.550,4600
6230,4600,-3.000,4600
6235,4600,-3.300,4600
6240,4600,-3.600,4600
6245,4600,-3.900,4600
6250,4600,-4.200,4600
6255,4600,-4.500,4600
6260,4600,-4.800,4600
6265,4600,-4.950,4600
6270,4600,-5.250,4600
6275,4600,-5.400,4600
6280,4600,-5.550,4600
